cmd :route
u8Para[0]=0,u8Para[1]=0,id=0 
id=334,name=service_fpi_media_video_pause,times=0,time=0(us)
id=335,name=service_fpi_media_video_resume,times=0,time=0(us)
id=336,name=service_fpi_media_video_stop,times=0,time=0(us)
id=337,name=service_fpi_media_set_seek,times=0,time=0(us)
id=338,name=service_fpi_media_get_program_number,times=0,time=0(us)
id=339,name=service_fpi_media_get_program_info,times=0,time=0(us)
id=340,name=service_fpi_media_set_program,times=0,time=0(us)
id=341,name=service_fpi_media_get_video_pts,times=0,time=0(us)
id=342,name=service_fpi_media_get_video_duration,times=0,time=0(us)
id=343,name=service_fpi_media_get_track_nums,times=0,time=0(us)
id=344,name=service_fpi_media_get_track_info,times=0,time=0(us)
id=345,name=service_fpi_media_set_track,times=0,time=0(us)
id=346,name=service_fpi_media_set_video_display,times=0,time=0(us)
id=347,name=service_fpi_media_set_picture_silde_show,times=0,time=0(us)
id=348,name=service_fpi_media_set_picture_play_internal,times=0,time=0(us)
id=349,name=service_fpi_media_set_picture_stop,times=0,time=0(us)
id=350,name=service_fpi_media_set_picture_animation,times=0,time=0(us)
id=351,name=service_fpi_media_show_picture_file,times=0,time=0(us)
id=352,name=service_fpi_media_set_picture_display,times=0,time=0(us)
id=353,name=service_fpi_media_exit_picture_mode,times=0,time=0(us)
id=354,name=service_fpi_media_delete_file,times=0,time=0(us)
id=355,name=service_fpi_media_judge_file_exit,times=0,time=0(us)
id=356,name=service_fpi_media_get_file_info,times=0,time=0(us)
id=357,name=service_fpi_media_get_id3_info,times=0,time=0(us)
id=358,name=service_fpi_media_get_humbnail,times=0,time=0(us)
id=359,name=service_fpi_media_set_a_flag,times=0,time=0(us)
id=360,name=service_fpi_media_set_b_flag,times=0,time=0(us)
id=361,name=service_fpi_media_exit_ab_repeat,times=0,time=0(us)
id=362,name=service_fpi_media_set_forward,times=0,time=0(us)
id=363,name=service_fpi_media_set_backward,times=0,time=0(us)
id=364,name=service_fpi_media_set_slow_motion,times=0,time=0(us)
id=365,name=service_fpi_media_get_subtitle_embeded_track,times=0,time=0(us)
id=366,name=service_fpi_media_get_subtitle_external_track,times=0,time=0(us)
id=367,name=service_fpi_media_set_subtitle_invisible,times=0,time=0(us)
id=368,name=service_fpi_media_set_text_size,times=0,time=0(us)
id=369,name=service_fpi_media_set_font,times=0,time=0(us)
id=370,name=service_fpi_media_set_text_color,times=0,time=0(us)
id=371,name=service_fpi_media_register_callback,times=0,time=0(us)
id=372,name=service_fpi_media_clean_list,times=0,time=0(us)
id=373,name=service_fpi_media_get_track_info_current,times=0,time=0(us)
id=374,name=service_fpi_media_set_picture_silde_show_pause,times=0,time=0(us)
id=375,name=service_fpi_media_set_picture_silde_show_resume,times=0,time=0(us)
id=376,name=service_fpi_media_get_file_type,times=0,time=0(us)
id=377,name=service_fpi_media_get_track_data,times=0,time=0(us)
id=378,name=service_fpi_media_get_subtitle_ts_embeded_track,times=0,time=0(us)
id=379,name=service_fpi_media_set_subtitle_plug_flag,times=0,time=0(us)
id=380,name=service_fpi_media_set_subtitle_plug,times=0,time=0(us)
id=381,name=service_fpi_media_set_subtitle_track,times=0,time=0(us)
id=382,name=service_fpi_media_get_subtitle_type,times=0,time=0(us)
id=383,name=service_fpi_media_picture_zoom_in,times=0,time=0(us)
id=384,name=service_fpi_media_picture_zoom_out,times=0,time=0(us)
id=385,name=service_fpi_media_picture_move,times=0,time=0(us)
id=386,name=service_fpi_media_picture_rotation,times=0,time=0(us)
id=387,name=service_fpi_media_get_cover,times=0,time=0(us)
id=388,name=service_fpi_media_get_ts_track_number,times=0,time=0(us)
id=389,name=service_fpi_media_set_hw_mode,times=0,time=0(us)
id=390,name=service_fpi_media_get_current_track_id,times=0,time=0(us)
id=391,name=service_fpi_media_get_current_subtitle_track_id,times=0,time=0(us)
id=392,name=service_fpi_media_lrc_get_title_info,times=0,time=0(us)
id=393,name=service_fpi_media_lrc_get_text_rows,times=0,time=0(us)
id=394,name=service_fpi_iwedia_init,times=0,time=0(us)
id=395,name=service_fpi_mheg_init,times=0,time=0(us)
id=396,name=service_fpi_mheg_terminate,times=0,time=0(us)
id=397,name=service_fpi_mheg_start,times=0,time=0(us)
id=398,name=service_fpi_mheg_restart,times=0,time=0(us)
id=399,name=service_fpi_mheg_lock,times=0,time=0(us)
id=400,name=service_fpi_mheg_stop,times=0,time=0(us)
id=401,name=service_fpi_mheg_resume,times=0,time=0(us)
id=402,name=service_fpi_mheg_suspend,times=0,time=0(us)
id=403,name=service_fpi_mheg_notify_userinput,times=0,time=0(us)
id=404,name=service_fpi_mheg_is_open,times=0,time=0(us)
id=405,name=service_fpi_mheg_userinput_state,times=0,time=0(us)
id=406,name=service_fpi_pvr_init,times=0,time=0(us)
id=407,name=service_fpi_pvr_set_disk_info,times=0,time=0(us)
id=408,name=service_fpi_pvr_get_disk_info,times=0,time=0(us)
id=409,name=service_fpi_pvr_record_start,times=0,time=0(us)
id=410,name=service_fpi_pvr_record_stop,times=0,time=0(us)
id=411,name=service_fpi_pvr_record_change_params,times=0,time=0(us)
id=412,name=service_fpi_pvr_record_pause,times=0,time=0(us)
id=413,name=service_fpi_pvr_set_recording_length,times=0,time=0(us)
id=414,name=service_fpi_pvr_set_current_length_as_last_stop,times=0,time=0(us)
